scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
132,45.72999999999999,182.39500000000004,-51.79999999999998,A_PA1_to_C1,0.8749202440103222,0.008227690772439223,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
133,47.06500000000001,182.055,-51.79999999999998,A_PA1_to_C1,0.8666173337184707,0.008388677595348263,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
134,48.39999999999999,181.69499999999996,-51.79999999999998,A_PA1_to_C1,0.8889009409287644,0.00839365263761454,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
135,49.73000000000001,181.33500000000004,-51.79999999999998,A_PA1_to_C1,0.8928377877714715,0.008530679754543294,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
136,51.05999999999998,180.96000000000004,-51.79999999999998,A_PA1_to_C1,0.9197795657475628,0.008579270286290129,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
137,52.38500000000001,180.57999999999996,-51.79999999999998,A_PA1_to_C1,0.9079648191953986,0.008627008071205446,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
138,53.699999999999996,180.18499999999997,-51.79999999999998,A_PA1_to_C1,0.9206382505068263,0.00872953256476811,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
139,55.02500000000002,179.785,-51.79999999999998,A_PA1_to_C1,0.9071132405963768,0.008746006529463309,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
140,56.34,179.37000000000006,-51.79999999999998,A_PA1_to_C1,0.8772990456843913,0.008771262060404012,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
141,57.64999999999998,178.94999999999993,-51.79999999999998,A_PA1_to_C1,0.8750441811831955,0.008835198756298764,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
142,58.96000000000001,178.52000000000007,-51.79999999999998,A_PA1_to_C1,0.9045357996062876,0.008844785784565214,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
143,60.26499999999999,178.07499999999996,-51.79999999999998,A_PA1_to_C1,0.8967646305650873,0.008840203522831255,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
144,61.56999999999998,177.62500000000006,-51.79999999999998,A_PA1_to_C1,0.8894586367451977,0.008913064933943993,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
145,62.870000000000005,177.15999999999997,-51.79999999999998,A_PA1_to_C1,0.8550667522652373,0.008860332928211158,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
146,64.16499999999999,176.695,-51.79999999999998,A_PA1_to_C1,0.8387680887461606,0.0088825511811375,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
147,65.45499999999998,176.21000000000004,-51.79999999999998,A_PA1_to_C1,0.884841601477992,0.008871311926250165,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
148,66.74500000000002,175.72499999999994,-51.79999999999998,A_PA1_to_C1,0.8808802867303834,0.008817297044565336,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
149,68.03,175.22499999999997,-51.79999999999998,A_PA1_to_C1,0.8249387189277451,0.008731976957736108,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
150,69.31,174.71500000000003,-51.79999999999998,A_PA1_to_C1,0.8354980885817727,0.008717515464781406,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
151,70.585,174.195,-51.79999999999998,A_PA1_to_C1,0.8538476103647701,0.008649000850845016,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
152,71.85999999999999,173.67499999999998,-51.79999999999998,A_PA1_to_C1,0.8462558010855185,0.008607457177297611,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
153,73.12999999999998,173.13499999999996,-51.79999999999998,A_PA1_to_C1,0.7717746087494394,0.00848312281746525,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
154,74.39499999999998,172.58999999999995,-51.79999999999998,A_PA1_to_C1,0.8336283079796609,0.008428631378778686,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
